,Params,Score
0,"{'batch_size': -1, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 10}",-56213861985.66115
1,"{'batch_size': -1, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 100}",-55361153378.18282
2,"{'batch_size': -1, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 1000}",-12656793743.502575
3,"{'batch_size': -1, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 10000}",-4681225763.247099
4,"{'batch_size': -1, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 10}",-55576054304.98019
5,"{'batch_size': -1, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 100}",-12895228830.95654
6,"{'batch_size': -1, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 1000}",-5339565586.598043
7,"{'batch_size': -1, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 10000}",-13566640355.495962
8,"{'batch_size': -1, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 10}",-18901587260.52105
9,"{'batch_size': -1, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 100}",-6051097869.800137
10,"{'batch_size': -1, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 1000}",-4359483347.161672
11,"{'batch_size': -1, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 10000}",-3949004251.1453094
12,"{'batch_size': -1, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 10}",-56206046578.5374
13,"{'batch_size': -1, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 100}",-53502901514.166115
14,"{'batch_size': -1, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 1000}",-9692176225.490757
15,"{'batch_size': -1, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 10000}",-4511320001.0609
16,"{'batch_size': -1, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 10}",-55231991602.76512
17,"{'batch_size': -1, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 100}",-10184179292.609087
18,"{'batch_size': -1, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 1000}",-5135256992.96362
19,"{'batch_size': -1, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 10000}",-3819674485.7787695
20,"{'batch_size': -1, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 10}",-15001220619.321386
21,"{'batch_size': -1, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 100}",-5600178255.205923
22,"{'batch_size': -1, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 1000}",-4259224704.4037313
23,"{'batch_size': -1, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 10000}",-3825764327.7194657
24,"{'batch_size': -1, 'hidden_layers_sizes': [32], 'learning_rate': 0.1, 'nb_epoch': 10}",-56192729523.726295
